class,image_path,name,xmax,xmin,ymax,ymin
3.0,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,682.0,511.0,235.0,125.0
3.0,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,527.0,415.0,229.0,136.0
3.0,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,418.0,308.0,204.0,127.0
3.0,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,252.0,143.0,221.0,121.0
2.0,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,755.0,320.0,567.0,315.0
2.0,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,425.0,3.0,531.0,294.0
2.0,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,465.0,310.0,483.0,311.0
2.0,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,786.0,566.0,570.0,368.0
3.0,e7c44d1cb8519bcba132223b90e73bf8.jpg,GARBAGE,478.0,401.0,285.0,221.0
3.0,e7c44d1cb8519bcba132223b90e73bf8.jpg,GARBAGE,116.0,70.0,453.0,407.0
3.0,acfd67a6c4fa0e79b1df6f812e194b48.jpg,GARBAGE,119.0,50.0,376.0,310.0
3.0,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,538.0,398.0,351.0,277.0
3.0,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,401.0,347.0,353.0,303.0
3.0,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,152.0,98.0,172.0,116.0
3.0,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,72.0,-13.0,172.0,105.0
3.0,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,416.0,338.0,212.0,174.0
4.0,382632315c7400b3ae1eed539a23e892.jpg,CONSTRUCTION_ROAD,458.0,367.0,241.0,173.0
4.0,382632315c7400b3ae1eed539a23e892.jpg,CONSTRUCTION_ROAD,348.0,-79.0,345.0,56.0
3.0,bedd90aa6c2e7f81cab0e6f7a3e415df.jpg,GARBAGE,160.0,85.0,293.0,232.0
3.0,bedd90aa6c2e7f81cab0e6f7a3e415df.jpg,GARBAGE,196.0,133.0,285.0,223.0
4.0,63352e0656131f18bf32a8198d265bc5.jpg,CONSTRUCTION_ROAD,507.0,8.0,359.0,164.0
4.0,63352e0656131f18bf32a8198d265bc5.jpg,CONSTRUCTION_ROAD,987.0,569.0,321.0,172.0
2.0,82316aaeafc6a37767657489875238b4.jpg,POTHOLES,356.0,45.0,501.0,346.0
2.0,82316aaeafc6a37767657489875238b4.jpg,POTHOLES,758.0,393.0,560.0,375.0
3.0,82316aaeafc6a37767657489875238b4.jpg,GARBAGE,608.0,472.0,536.0,419.0
2.0,91cdd59f70c6439fe7d5971effd124a7.jpg,POTHOLES,326.0,43.0,472.0,301.0
7.0,91cdd59f70c6439fe7d5971effd124a7.jpg,BAD_BILLBOARD,841.0,770.0,201.0,136.0
7.0,91cdd59f70c6439fe7d5971effd124a7.jpg,BAD_BILLBOARD,628.0,579.0,213.0,176.0
7.0,f677bc005c07a7f193aeb6b4446d8c62.jpg,BAD_BILLBOARD,555.0,399.0,228.0,159.0
2.0,4ff403c16bbb59d06815210cd5359333.jpg,POTHOLES,346.0,152.0,265.0,181.0
4.0,35426050b5eb788be2aee8bccf30a7b8.jpg,CONSTRUCTION_ROAD,1318.0,-326.0,592.0,101.0
2.0,69f337b812a9fd61825b6d91c7bb3a07.jpg,POTHOLES,857.0,628.0,453.0,269.0
2.0,69f337b812a9fd61825b6d91c7bb3a07.jpg,POTHOLES,680.0,517.0,491.0,318.0
9.0,5c83c39501259cf1f2e092f165f306f8.jpg,CLUTTER_SIDEWALK,408.0,178.0,238.0,166.0
9.0,5c83c39501259cf1f2e092f165f306f8.jpg,CLUTTER_SIDEWALK,516.0,332.0,246.0,164.0
0.0,38e6551fd3fc84bba6248723aa3a0744.jpg,GRAFFITI,378.0,265.0,296.0,231.0
3.0,9d607798d2d4c0806f7fa9ab9dc6491b.jpg,GARBAGE,361.0,313.0,174.0,145.0
7.0,9d607798d2d4c0806f7fa9ab9dc6491b.jpg,BAD_BILLBOARD,708.0,511.0,182.0,67.0
7.0,9d607798d2d4c0806f7fa9ab9dc6491b.jpg,BAD_BILLBOARD,812.0,638.0,175.0,83.0
2.0,1ecacdec8ef875a2047bb6ba22443de1.jpg,POTHOLES,296.0,-71.0,393.0,206.0
2.0,1ecacdec8ef875a2047bb6ba22443de1.jpg,POTHOLES,333.0,216.0,275.0,178.0
2.0,1ecacdec8ef875a2047bb6ba22443de1.jpg,POTHOLES,547.0,351.0,322.0,228.0
3.0,1ecacdec8ef875a2047bb6ba22443de1.jpg,GARBAGE,484.0,412.0,226.0,168.0
8.0,1ecacdec8ef875a2047bb6ba22443de1.jpg,SAND_ON_ROAD,899.0,544.0,241.0,97.0
3.0,68dee6cb43cbc7680c69a309992f947a.jpg,GARBAGE,330.0,173.0,301.0,210.0
3.0,68dee6cb43cbc7680c69a309992f947a.jpg,GARBAGE,461.0,366.0,310.0,249.0
0.0,68dee6cb43cbc7680c69a309992f947a.jpg,GRAFFITI,207.0,86.0,220.0,133.0
9.0,cbe3dfb20e83df28dd4633c976fdb427.jpg,CLUTTER_SIDEWALK,590.0,201.0,264.0,173.0
9.0,cbe3dfb20e83df28dd4633c976fdb427.jpg,CLUTTER_SIDEWALK,848.0,430.0,242.0,162.0
3.0,db1a3bbb58f94a47e71a9c66659db183.jpg,GARBAGE,410.0,359.0,246.0,209.0
3.0,db1a3bbb58f94a47e71a9c66659db183.jpg,GARBAGE,258.0,144.0,268.0,228.0
3.0,df47a2df1383777a4c944f37ce567670.jpg,GARBAGE,922.0,809.0,217.0,156.0
3.0,df47a2df1383777a4c944f37ce567670.jpg,GARBAGE,753.0,665.0,205.0,152.0
3.0,1dd55d643aacdb27ad700b9f2ef6a631.jpg,GARBAGE,928.0,766.0,354.0,273.0
3.0,1dd55d643aacdb27ad700b9f2ef6a631.jpg,GARBAGE,660.0,593.0,472.0,422.0
3.0,1dd55d643aacdb27ad700b9f2ef6a631.jpg,GARBAGE,613.0,492.0,391.0,315.0
3.0,8ee2038d392b86e38bf8cd02bafe3041.jpg,GARBAGE,357.0,230.0,390.0,299.0
9.0,fd845ce9b0fc04db73d03844b627de8a.jpg,CLUTTER_SIDEWALK,444.0,59.0,365.0,208.0
9.0,fd845ce9b0fc04db73d03844b627de8a.jpg,CLUTTER_SIDEWALK,894.0,402.0,353.0,195.0
8.0,eb81c4e77e0138e53ae2e118c225bbb8.jpg,SAND_ON_ROAD,780.0,482.0,225.0,86.0
0.0,3f73a96a4a26927f824f6b93d7cdf703.jpg,GRAFFITI,787.0,568.0,280.0,151.0
0.0,3f73a96a4a26927f824f6b93d7cdf703.jpg,GRAFFITI,1028.0,695.0,298.0,159.0
0.0,3f73a96a4a26927f824f6b93d7cdf703.jpg,GRAFFITI,800.0,698.0,294.0,162.0
0.0,3f73a96a4a26927f824f6b93d7cdf703.jpg,GRAFFITI,902.0,486.0,383.0,196.0
3.0,3f73a96a4a26927f824f6b93d7cdf703.jpg,GARBAGE,976.0,888.0,459.0,388.0
3.0,be4252ee56467c82437b3ac109f89258.jpg,GARBAGE,927.0,770.0,259.0,188.0
3.0,be4252ee56467c82437b3ac109f89258.jpg,GARBAGE,743.0,665.0,257.0,196.0
0.0,8cab7d5e9825ae6afa7ff2ad8078dee4.jpg,GRAFFITI,445.0,-102.0,246.0,53.0
3.0,998aae75a69cdc2ad2a3079f744cf19f.jpg,GARBAGE,375.0,266.0,360.0,270.0
9.0,0e2feddfa6d13e4c3d409d8a6df4a59a.jpg,CLUTTER_SIDEWALK,341.0,192.0,269.0,198.0
9.0,0e2feddfa6d13e4c3d409d8a6df4a59a.jpg,CLUTTER_SIDEWALK,273.0,5.0,307.0,196.0
9.0,e406093329573c21614dfeab08aa1abe.jpg,CLUTTER_SIDEWALK,412.0,119.0,334.0,233.0
9.0,e406093329573c21614dfeab08aa1abe.jpg,CLUTTER_SIDEWALK,815.0,341.0,357.0,209.0
9.0,e406093329573c21614dfeab08aa1abe.jpg,CLUTTER_SIDEWALK,979.0,657.0,341.0,236.0
8.0,a63966534cf4929cb550bcbacd18424e.jpg,SAND_ON_ROAD,233.0,-36.0,372.0,212.0
7.0,f3824e6e749dbf4010d591526e581159.jpg,BAD_BILLBOARD,931.0,804.0,169.0,64.0
7.0,f3824e6e749dbf4010d591526e581159.jpg,BAD_BILLBOARD,701.0,610.0,190.0,119.0
7.0,f3824e6e749dbf4010d591526e581159.jpg,BAD_BILLBOARD,715.0,620.0,157.0,84.0
8.0,471dc72d27696d978344841966998f23.jpg,SAND_ON_ROAD,385.0,217.0,233.0,143.0
8.0,471dc72d27696d978344841966998f23.jpg,SAND_ON_ROAD,535.0,377.0,237.0,174.0
8.0,471dc72d27696d978344841966998f23.jpg,SAND_ON_ROAD,681.0,481.0,231.0,168.0
8.0,471dc72d27696d978344841966998f23.jpg,SAND_ON_ROAD,249.0,31.0,253.0,145.0
4.0,641caad45035c1880633d363f3a5fcac.jpg,CONSTRUCTION_ROAD,331.0,105.0,274.0,167.0
4.0,641caad45035c1880633d363f3a5fcac.jpg,CONSTRUCTION_ROAD,1003.0,157.0,437.0,126.0
0.0,522cafccf5576f5604a2652a0dcf722d.jpg,GRAFFITI,574.0,152.0,316.0,80.0
0.0,522cafccf5576f5604a2652a0dcf722d.jpg,GRAFFITI,849.0,343.0,358.0,156.0
0.0,522cafccf5576f5604a2652a0dcf722d.jpg,GRAFFITI,1041.0,642.0,382.0,115.0
10.0,522cafccf5576f5604a2652a0dcf722d.jpg,UNKEPT_FACADE,317.0,20.0,195.0,22.0
10.0,522cafccf5576f5604a2652a0dcf722d.jpg,UNKEPT_FACADE,942.0,540.0,176.0,28.0
3.0,55b6ff8a233ca8d54744f574b992d180.jpg,GARBAGE,815.0,770.0,199.0,158.0
3.0,094fdf4fbf2081a81d1d3d055b4f8800.jpg,GARBAGE,417.0,348.0,285.0,210.0
2.0,e72991910ba624603c7191e118afe560.jpg,POTHOLES,170.0,53.0,407.0,321.0
2.0,e72991910ba624603c7191e118afe560.jpg,POTHOLES,289.0,76.0,363.0,234.0
2.0,e72991910ba624603c7191e118afe560.jpg,POTHOLES,259.0,193.0,267.0,202.0
2.0,e72991910ba624603c7191e118afe560.jpg,POTHOLES,905.0,663.0,342.0,231.0
2.0,6df1e33c4e4d929177f4c575d178e638.jpg,POTHOLES,415.0,300.0,514.0,321.0
2.0,6df1e33c4e4d929177f4c575d178e638.jpg,POTHOLES,628.0,339.0,491.0,377.0
7.0,3cfbd1b318d5a246f82e31d6b182da54.jpg,BAD_BILLBOARD,710.0,556.0,188.0,67.0
7.0,3cfbd1b318d5a246f82e31d6b182da54.jpg,BAD_BILLBOARD,995.0,656.0,113.0,-24.0
3.0,3cfbd1b318d5a246f82e31d6b182da54.jpg,GARBAGE,870.0,778.0,386.0,318.0
9.0,55a0c5e6238c1184dfb82f33783e97da.jpg,CLUTTER_SIDEWALK,469.0,-92.0,387.0,167.0
3.0,145bf4b86cec2b3c547e9c82fcd80119.jpg,GARBAGE,190.0,80.0,305.0,243.0
3.0,cc9802d1998c74e7d7a80d55ce5eafe0.jpg,GARBAGE,831.0,609.0,453.0,311.0
3.0,cc9802d1998c74e7d7a80d55ce5eafe0.jpg,GARBAGE,930.0,785.0,422.0,368.0
0.0,cc9802d1998c74e7d7a80d55ce5eafe0.jpg,GRAFFITI,787.0,663.0,295.0,211.0
0.0,cc9802d1998c74e7d7a80d55ce5eafe0.jpg,GRAFFITI,722.0,599.0,279.0,221.0
0.0,6572b86e2863c2324d4ac002b8ca6bab.jpg,GRAFFITI,197.0,101.0,287.0,229.0
4.0,c933e0c736bd2f689340c34ed6446ef3.jpg,CONSTRUCTION_ROAD,717.0,341.0,267.0,148.0
7.0,3cc67ca70be2c13f8b405da8ad45511b.jpg,BAD_BILLBOARD,960.0,803.0,212.0,147.0
7.0,c5c3f29cd87865bcb93f0d86dad89dc1.jpg,BAD_BILLBOARD,1103.0,245.0,414.0,-111.0
0.0,c10f5c5f8ee5b72be3c6930019687b67.jpg,GRAFFITI,767.0,645.0,231.0,157.0
3.0,b8a7a9c4ecd91abc304fcbb58495b8e5.jpg,GARBAGE,214.0,165.0,276.0,221.0
4.0,e3c3f30cdce9a59c92fa3dc1d07dc54f.jpg,CONSTRUCTION_ROAD,518.0,-68.0,394.0,152.0
4.0,e3c3f30cdce9a59c92fa3dc1d07dc54f.jpg,CONSTRUCTION_ROAD,697.0,310.0,375.0,159.0
9.0,6c28b02480fabed35971144f52265328.jpg,CLUTTER_SIDEWALK,200.0,16.0,176.0,127.0
9.0,6c28b02480fabed35971144f52265328.jpg,CLUTTER_SIDEWALK,548.0,202.0,187.0,125.0
9.0,6c28b02480fabed35971144f52265328.jpg,CLUTTER_SIDEWALK,848.0,573.0,208.0,128.0
7.0,2d3b6a997226d959814db4ff2213beea.jpg,BAD_BILLBOARD,946.0,701.0,162.0,33.0
9.0,5d8f08a7c53212edd10e3cb86009d08e.jpg,CLUTTER_SIDEWALK,339.0,-37.0,282.0,187.0
9.0,5d8f08a7c53212edd10e3cb86009d08e.jpg,CLUTTER_SIDEWALK,608.0,242.0,285.0,187.0
9.0,5d8f08a7c53212edd10e3cb86009d08e.jpg,CLUTTER_SIDEWALK,897.0,550.0,302.0,203.0
3.0,1b8abef594c2f9bc067c3091d56916b1.jpg,GARBAGE,713.0,598.0,304.0,211.0
3.0,1b8abef594c2f9bc067c3091d56916b1.jpg,GARBAGE,96.0,-14.0,282.0,191.0
3.0,1b8abef594c2f9bc067c3091d56916b1.jpg,GARBAGE,140.0,54.0,306.0,186.0
8.0,1b8abef594c2f9bc067c3091d56916b1.jpg,SAND_ON_ROAD,312.0,173.0,298.0,207.0
3.0,68f8c1d1a87686ee7b6a22cc1ec4cf51.jpg,GARBAGE,336.0,271.0,349.0,289.0
3.0,62b46e15f86840cef61f8f6563536fb9.jpg,GARBAGE,400.0,310.0,286.0,238.0
3.0,62b46e15f86840cef61f8f6563536fb9.jpg,GARBAGE,432.0,370.0,312.0,268.0
0.0,62b46e15f86840cef61f8f6563536fb9.jpg,GRAFFITI,514.0,420.0,180.0,118.0
0.0,62b46e15f86840cef61f8f6563536fb9.jpg,GRAFFITI,601.0,546.0,189.0,129.0
3.0,6034f49fb46042b0ec8b2c52c7f2c657.jpg,GARBAGE,112.0,34.0,260.0,216.0
0.0,f28ff3dc7b418d864d92851a01de2d27.jpg,GRAFFITI,540.0,53.0,204.0,57.0
0.0,f28ff3dc7b418d864d92851a01de2d27.jpg,GRAFFITI,804.0,598.0,228.0,124.0
0.0,f28ff3dc7b418d864d92851a01de2d27.jpg,GRAFFITI,922.0,717.0,236.0,105.0
10.0,f28ff3dc7b418d864d92851a01de2d27.jpg,UNKEPT_FACADE,907.0,501.0,287.0,150.0
10.0,f28ff3dc7b418d864d92851a01de2d27.jpg,UNKEPT_FACADE,634.0,165.0,269.0,150.0
5.0,5b423ae5c1cf5a14010254b708f0203c.jpg,BROKEN_SIGNAGE,667.0,590.0,261.0,166.0
9.0,3b09a6afae7d36e58fc5315b5acd5053.jpg,CLUTTER_SIDEWALK,488.0,78.0,279.0,156.0
9.0,3b09a6afae7d36e58fc5315b5acd5053.jpg,CLUTTER_SIDEWALK,767.0,326.0,283.0,153.0
9.0,3b09a6afae7d36e58fc5315b5acd5053.jpg,CLUTTER_SIDEWALK,994.0,590.0,269.0,144.0
7.0,4475ace22be4be1b8f343ec6005c9852.jpg,BAD_BILLBOARD,885.0,648.0,247.0,133.0
7.0,4475ace22be4be1b8f343ec6005c9852.jpg,BAD_BILLBOARD,988.0,811.0,247.0,135.0
3.0,e23a7f18f969a46a90ae2430a2a5f169.jpg,GARBAGE,361.0,281.0,318.0,253.0
3.0,e23a7f18f969a46a90ae2430a2a5f169.jpg,GARBAGE,341.0,218.0,365.0,267.0
9.0,88e49d3a014221186e4882f1f10f9ea4.jpg,CLUTTER_SIDEWALK,378.0,34.0,311.0,202.0
9.0,88e49d3a014221186e4882f1f10f9ea4.jpg,CLUTTER_SIDEWALK,885.0,201.0,339.0,187.0
3.0,88e49d3a014221186e4882f1f10f9ea4.jpg,GARBAGE,139.0,30.0,265.0,193.0
3.0,da83d6c10fbf98ec923c8089398121fd.jpg,GARBAGE,875.0,666.0,282.0,127.0
3.0,da83d6c10fbf98ec923c8089398121fd.jpg,GARBAGE,768.0,585.0,283.0,130.0
3.0,da83d6c10fbf98ec923c8089398121fd.jpg,GARBAGE,214.0,75.0,271.0,170.0
3.0,da83d6c10fbf98ec923c8089398121fd.jpg,GARBAGE,127.0,-20.0,295.0,190.0
3.0,aa45ab55354218590bcf350f8f9e8101.jpg,GARBAGE,722.0,537.0,498.0,397.0
4.0,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,445.0,359.0,238.0,173.0
4.0,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,401.0,191.0,262.0,135.0
4.0,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,319.0,-21.0,311.0,76.0
7.0,c79cff658f4040b210e57173c00a60e7.jpg,BAD_BILLBOARD,378.0,157.0,231.0,36.0
3.0,40963a7db20ad00dd22cc286bbf8513f.jpg,GARBAGE,207.0,148.0,173.0,121.0
0.0,624d3575f86963e635cbd306b90af923.jpg,GRAFFITI,421.0,189.0,218.0,96.0
2.0,fb7b771387f1e5090534ae2ad78f7e5b.jpg,POTHOLES,778.0,503.0,402.0,252.0
2.0,fb7b771387f1e5090534ae2ad78f7e5b.jpg,POTHOLES,933.0,655.0,378.0,279.0
7.0,9f5dd9884a6bad7133554796fff53661.jpg,BAD_BILLBOARD,961.0,660.0,121.0,-5.0
7.0,9f5dd9884a6bad7133554796fff53661.jpg,BAD_BILLBOARD,775.0,638.0,141.0,26.0
7.0,9f5dd9884a6bad7133554796fff53661.jpg,BAD_BILLBOARD,683.0,548.0,180.0,99.0
